character_name,tg_username,vk_username,telegram_id,is_active,is_admin,is_alive,is_child,weak_zones,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6
Тина,Валка,https://vk.com/nedodao,https://t.me/ahuyentador,0,0,1,1,"[LEFT_ARM, RIGHT_ARM, LEFT_LEG]","{""name"": ""Изворотливый"", ""description"": ""Может вырваться из удержания за 1 энергию. Удерживающие не могут снова начать его удерживать 2 минуты."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Привычный к Степи"", ""description"": ""Может ночевать в Степи. Один раз в день не вскрывает чип твириновой настойки."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Проныра"", ""description"": ""Может пройти сквозь баррикаду за 1 энергию."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Виктор Потоцкий,Данила,,https://t.me/staplerfahrer_klaus,0,0,1,0,"[LEFT_ARM, RIGHT_ARM, RIGHT_LEG]","{""name"": ""Кулачный боец"", ""description"": ""Может перебросить свою монетку один раз за драку."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Из последних сил"", ""description"": ""Может получить небоевое ранение, чтобы не тратить энергию."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Здоровый как бык"", ""description"": ""Считается дополнительной ячейкой здоровья."", ""is_health"": true, ""pain"": -3, ""recipes"": []},","{""name"": ""Неудержимый"", ""description"": ""Может начать драку, находясь в удержании."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Никодим Тарукх,Искар,https://vk.com/eternaldarkflame,https://t.me/+79991620766,0,0,1,0,"[LEFT_ARM, LEFT_LEG, RIGHT_LEG]","{""name"": ""Кулачный боец"", ""description"": ""Может перебросить свою монетку один раз за драку."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Привычный к Степи"", ""description"": ""Может ночевать в Степи. Один раз в день не вскрывает чип твириновой настойки."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Знаток твирина"", ""description"": ""Может съесть 2 травы вместо 1 еды. Знает рецепт твириновых настоек."", ""is_health"": false, ""pain"": -1, ""recipes"": [CRAFT_TWYRINE]},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Яна Спицына,Анка,https://vk.com/id86095369,,0,0,1,0,"[RIGHT_ARM, LEFT_LEG, RIGHT_LEG]","{""name"": ""Родившийся в рубашке"", ""description"": ""Может потратить 3 энергии, чтобы не получать ранение или травму. Не спасает от Чумы и бессоницы."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Густая кровь"", ""description"": ""При ночёвке в доме 1 ранение снимается. Не работает для пулевых ранений."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Здоровый как бык"", ""description"": ""Считается дополнительной ячейкой здоровья."", ""is_health"": true, ""pain"": -3, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Лидия Криницкая,Wollorin,https://vk.com/layneamnis,,0,0,1,0,"[HEAD, CHEST, LEFT_ARM]","{""name"": ""Умелец"", ""description"": ""Знает 4 рецепта из общего списка."", ""is_health"": false, ""pain"": 0, ""recipes"": [REPAIR_MASKS, REPAIR_BANDIT_MASKS, REPAIR_CLOAK, REPAIR_GLOVES]},","{""name"": ""Привычный к Степи"", ""description"": ""Может ночевать в Степи. Один раз в день не вскрывает чип твириновой настойки."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Знаток твирина"", ""description"": ""Может съесть 2 травы вместо 1 еды. Знает рецепт твириновых настоек."", ""is_health"": false, ""pain"": -1, ""recipes"": [CRAFT_TWYRINE]},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Портной"", ""description"": ""При ремоне и создании одежды восстанавливает на 1 прочность больше. При наличии рецепта на ремонт одежды получает рецепт на создание аналогичной одежды."", ""is_health"": false, ""pain"": 0, ""recipes"": [CRAFT_MASKS, CRAFT_BANDIT_MASKS, CRAFT_CLOAKS, CRAFT_GLOVES]},"
Лия,Ася,https://vk.com/id12817992,,0,0,1,0,"[HEAD, CHEST, RIGHT_ARM]","{""name"": ""Родившийся в рубашке"", ""description"": ""Может потратить 3 энергии, чтобы не получать ранение или травму. Не спасает от Чумы и бессоницы."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Умелец"", ""description"": ""Знает 4 рецепта из общего списка."", ""is_health"": false, ""pain"": 0, ""recipes"": [REPAIR_CLOAK, REPAIR_GLOVES, REPAIR_BANDIT_MASKS, CRAFT_LOCKPICKS]},","{""name"": ""Портной"", ""description"": ""При ремоне и создании одежды восстанавливает на 1 прочность больше. При наличии рецепта на ремонт одежды получает рецепт на создание аналогичной одежды."", ""is_health"": false, ""pain"": 0, ""recipes"": [CRAFT_CLOAKS, CRAFT_GLOVES, CRAFT_BANDIT_MASKS]},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Аристарх Каин,Kissofthevoid,,,0,0,1,0,"[HEAD, CHEST, LEFT_LEG]","{""name"": ""Здоровый как бык"", ""description"": ""Считается дополнительной ячейкой здоровья."", ""is_health"": true, ""pain"": -3, ""recipes"": []},","{""name"": ""Из последних сил"", ""description"": ""Может получить небоевое ранение, чтобы не тратить энергию."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Опытный дознаватель"", ""description"": ""При проведении пыток может сократить отыгрыш до 2 минут. Когда выбирает зоны, может назвать две вместо одной. Пытка будет успешной, если хотя бы одна из зон слабая."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Волчица,Рениэл Полковник,https://vk.com/id244849190,https://t.me/reniel444,0,0,1,1,"[HEAD, LEFT_ARM, RIGHT_ARM]","{""name"": ""Привычный к улице"", ""description"": ""Один раз в день может взять случайный ресурс из коробки мёртвых вещей в каждом районе. При ночёвке в жилом доме восстанавливает на 1 энергию меньше."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Непоседа"", ""description"": ""Восстанавливает на 2 энергии больше во время сна."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Ловкие пальцы"", ""description"": ""При взломе может за 1 энергию игнорировать 1 цвет замка. Нельзя использовать более 1 раза за 1 взлом. Нельзя игнорировать единственный цвет замка."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Ведьмак,Шайни,,,0,0,1,1,"[HEAD, LEFT_ARM, LEFT_LEG]","{""name"": ""Привычный к улице"", ""description"": ""Один раз в день может взять случайный ресурс из коробки мёртвых вещей в каждом районе. При ночёвке в жилом доме восстанавливает на 1 энергию меньше."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Непоседа"", ""description"": ""Восстанавливает на 2 энергии больше во время сна."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Проныра"", ""description"": ""Может пройти сквозь баррикаду за 1 энергию."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Ярина,Юки,https://vk.com/id119597461,,0,0,1,0,"[HEAD, LEFT_ARM, RIGHT_LEG]","{""name"": ""Работник Завода"", ""description"": ""За работу на Заводе получает дополнительную деталь. При вскрытии тел игнорирует метку \""Неумелое вскрытие\""."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Пудовый кулак"", ""description"": ""В драке за 1 энергию может понизить прочность 1 оружия на 2. Можно применить несколько раз за драку."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Взломщик"", ""description"": ""При взломе может либо тратить 10 секунд на взлом каждой части замка, либо сохранить одну потраченную отмычку после взлома."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Евгений Иванович Войнич,Алтан,,,0,0,1,0,"[HEAD, RIGHT_ARM, LEFT_LEG]","{""name"": ""Неудержимый"", ""description"": ""Может начать драку, находясь в удержании."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Карманщик"", ""description"": ""Может совершать карманные кражи. Один раз в день может взять случайный ресурс из коробки мёртвых вещей."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Знаток твирина"", ""description"": ""Может съесть 2 травы вместо 1 еды. Знает рецепт твириновых настоек."", ""is_health"": false, ""pain"": -1, ""recipes"": [CRAFT_TWYRINE]},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Лада Вешнякова,netvestey,,,0,0,1,0,"[HEAD, RIGHT_ARM, RIGHT_LEG]","{""name"": ""Привычный к улице"", ""description"": ""Один раз в день может взять случайный ресурс из коробки мёртвых вещей в каждом районе. При ночёвке в жилом доме восстанавливает на 1 энергию меньше."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Умелец"", ""description"": ""Знает 4 рецепта из общего списка."", ""is_health"": false, ""pain"": 0, ""recipes"": [REPAIR_CLOAK, REPAIR_GLOVES, REPAIR_MASKS, CRAFT_TWYRINE]},","{""name"": ""Знахарь"", ""description"": ""Знает 1 рецепт из медицинского списка."", ""is_health"": false, ""pain"": 0, ""recipes"": [CRAFT_IMMUNICS]},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Зоя Вешнякова,ярег,https://vk.com/id285419642,https://t.me/yarrreg,0,0,1,0,"[HEAD, LEFT_LEG, RIGHT_LEG]","{""name"": ""Карманщик"", ""description"": ""Может совершать карманные кражи. Один раз в день может взять случайный ресурс из коробки мёртвых вещей."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Карманный жонглёр"", ""description"": ""При обыске может спрятать 1 предмет. За каждые 5 меток воровства, может спрятать ещё 1 предмет."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Взломщик"", ""description"": ""При взломе может либо тратить 10 секунд на взлом каждой части замка, либо сохранить одну потраченную отмычку после взлома."", ""is_health"": false, ""pain"": 0, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Виктор Кудашов,Арчи,https://vk.com/id575689011,,0,0,1,0,"[CHEST, LEFT_ARM, RIGHT_ARM]","{""name"": ""Родившийся в рубашке"", ""description"": ""Может потратить 3 энергии, чтобы не получать ранение или травму. Не спасает от Чумы и бессоницы."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Из последних сил"", ""description"": ""Может получить небоевое ранение, чтобы не тратить энергию."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Здоровый как бык"", ""description"": ""Считается дополнительной ячейкой здоровья."", ""is_health"": true, ""pain"": -3, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
Алла Каина,Анна Клим,https://vk.com/id389764904,,0,0,1,0,"[CHEST, LEFT_ARM, RIGHT_LEG]","{""name"": ""Родившийся в рубашке"", ""description"": ""Может потратить 3 энергии, чтобы не получать ранение или травму. Не спасает от Чумы и бессоницы."", ""is_health"": false, ""pain"": -1, ""recipes"": []},","{""name"": ""Умелец"", ""description"": ""Знает 4 рецепта из общего списка."", ""is_health"": false, ""pain"": 0, ""recipes"": [REPAIR_MASKS, REPAIR_MASKS, REPAIR_CLOAK, REPAIR_GLOVES]},","{""name"": ""Здоровый как бык"", ""description"": ""Считается дополнительной ячейкой здоровья."", ""is_health"": true, ""pain"": -3, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},","{""name"": ""Здоровье"", ""description"": ""Обычное здоровье персонажа."", ""is_health"": true, ""pain"": -2, ""recipes"": []},"
